
Výraz	Úroveň	Typ	Slovní druh	Rod	Číslo	Vid	Kapitoly
a proto	A2	slovo	konjunkce				4.8.6
aby	A2	slovo	konjunkce				5.5.16
adoptivní	A2	slovo	adjektivum				6.1.13
agentura	A2	slovo	substantivum	femininum	singulár		6.11.5
AIDS	A2	slovo	substantivum	maskulinum	singulár		6.7.5
akce	A2	slovo	substantivum	femininum			6.8.4
aktovka	A2	slovo	substantivum	femininum	singulár		6.8.3; 6.10.3
ale jo	A2	slovo	partikule				5.2.6
alergie	A2	slovo	substantivum	femininum	singulár		6.7.4
alespoň	A2	slovo	partikule				4.2.7
ambulance	A2	slovo	substantivum	femininum	singulár		6.7.7
angína	A2	slovo	substantivum	femininum	singulár		6.7.5
ani, ani	A2	slovo	konjunkce				4.8.1
antibiotika	A2	slovo	substantivum	neutrum	plurál		6.8.6
antikoncepce	A2	slovo	substantivum	femininum	singulár		6.7.9
aperitiv	A2	slovo	substantivum	maskulinum	singulár		6.3.5
apostila	A2	slovo	substantivum	femininum	singulár		6.11.6
asijský	A2	slovo	adjektivum				6.1.14
ať	A2	slovo	partikule				5.5.35
ateista	A2	slovo	substantivum	maskulinum	singulár		6.1.11
ateistka	A2	slovo	substantivum	femininum	singulár		6.1.11
atletika	A2	slovo	substantivum	femininum	singulár		6.5.7
aula	A2	slovo	substantivum	femininum	singulár		6.10.2
autobazar	A2	slovo	substantivum	maskulinum	singulár		6.9.5
autobusový	A2	slovo	adjektivum				6.9.9
autodíl	A2	slovo	substantivum	maskulinum	singulár		6.9.5
autosedačka	A2	slovo	substantivum	femininum	singulár		6.9.3
autoškola	A2	slovo	substantivum	femininum	singulár		6.9.2
balet	A2	slovo	substantivum	maskulinum	singulár		6.5.11
balíček	A2	slovo	substantivum	maskulinum	singulár		4.2.3
barvit	A2	slovo	verbum			imperfektivní	6.8.9
báseň	A2	slovo	substantivum	femininum	singulár		6.5.14
básník	A2	slovo	substantivum	maskulinum	singulár		6.5.14
básnířka	A2	slovo	substantivum	femininum	singulár		6.5.14
batoh	A2	slovo	substantivum	maskulinum	singulár		6.8.3
bavit	A2	slovo	verbum			imperfektivní	5.3.15; 6.5.6
bavit se	A2	slovo	verbum			imperfektivní	6.5.2
bavlněný	A2	slovo	adjektivum				4.6.9
Bc.	A2	slovo	substantivum	maskulinum	singulár		6.1.2
běh	A2	slovo	substantivum	maskulinum	singulár		4.4.4
běhat	A2	slovo	verbum			imperfektivní	4.4.4; 6.5.7
becherovka	A2	slovo	substantivum	femininum	singulár		6.3.14
běloch	A2	slovo	substantivum	maskulinum	singulár		6.1.14
běloška	A2	slovo	substantivum	femininum	singulár		6.1.14
beton	A2	slovo	substantivum	maskulinum	singulár		4.6.9
bez	A2	slovo	prepozice				6.8.3
bezpečnost	A2	slovo	substantivum	femininum	singulár		6.6.5
bezpečnostní	A2	slovo	adjektivum				6.9.3
běžet	A2	slovo	verbum			imperfektivní	4.4.4
biologie	A2	slovo	substantivum	femininum	singulár		6.10.7
blbý	A2	slovo	adjektivum				4.7.1
blízko	A2	slovo	adverbium, prepozice				4.3.4
blog	A2	slovo	substantivum	maskulinum	singulár		6.5.5
bojler	A2	slovo	substantivum	maskulinum	singulár		6.2.5
bolest	A2	slovo	substantivum	femininum	singulár		6.7.2
bouřka	A2	slovo	substantivum	femininum	singulár		6.13.3
bowling	A2	slovo	substantivum	maskulinum	singulár		6.5.6
bramborový	A2	slovo	adjektivum				6.3.8
bratranec	A2	slovo	substantivum	maskulinum	singulár		6.1.13
brigádnice	A2	slovo	substantivum	femininum	singulár		6.6.2
brigádník	A2	slovo	substantivum	maskulinum	singulár		6.6.2
bronchitida	A2	slovo	substantivum	femininum	singulár		6.7.5
broskev	A2	slovo	substantivum	femininum	singulár		6.3.10
brusle	A2	slovo	substantivum	femininum	plurál		6.5.9
březnový	A2	slovo	adjektivum				4.5.1
buddhista	A2	slovo	substantivum	maskulinum	singulár		6.1.11
buddhistka	A2	slovo	substantivum	femininum	singulár		6.1.11
budík	A2	slovo	substantivum	maskulinum	singulár		6.4.1
budit se	A2	slovo	verbum			imperfektivní	6.4.1
budoucnost	A2	slovo	substantivum	femininum	singulár		4.5.4
budova	A2	slovo	substantivum	femininum	singulár		6.10.2
budvar	A2	slovo	substantivum	maskulinum	singulár		6.3.14
bydlení	A2	slovo	substantivum	neutrum	singulár		6.2.6; 6.11.5; 6.2.2
cela	A2	slovo	substantivum	femininum	singulár		6.12.1
celer	A2	slovo	substantivum	maskulinum	singulár		6.3.10
celní	A2	slovo	adjektivum				6.9.12
celnice	A2	slovo	substantivum	femininum	singulár		6.9.12
centrum	A2	slovo	substantivum	neutrum	singulár		6.8.1
certifikovaný	A2	slovo	adjektivum				6.10.8
cestovní	A2	slovo	adjektivum				6.8.8
cyklistika	A2	slovo	substantivum	femininum	singulár		6.5.7
cyklostezka	A2	slovo	substantivum	femininum	singulár		6.9.4
čára	A2	slovo	substantivum	femininum	singulár		4.6.1
časový	A2	slovo	adjektivum				6.9.8
část	A2	slovo	substantivum	femininum	singulár		4.2.3
čelo	A2	slovo	substantivum	neutrum	singulár		6.7.1
černoch	A2	slovo	substantivum	maskulinum	singulár		6.1.14
černoška	A2	slovo	substantivum	femininum	singulár		6.1.14
